point,x,y,z
profile1 0681,482.992,360.163,-2.991
profile1 0682,482.991,359.954,-2.97
profile1 0683,482.97,359.807,-2.953
profile1 0684,482.969,359.644,-2.952
profile1 0685,482.964,359.507,-2.943
profile1 0686,482.932,359.33,-2.949
profile1 0687,482.908,359.166,-2.942
profile1 0688,482.936,358.975,-2.912
profile1 0689,482.91,358.742,-2.934
profile1 0690,482.859,358.549,-2.922
profile1 0691,482.908,358.395,-2.912
profile1 0692,482.926,358.216,-2.904
profile1 0693,482.871,357.962,-2.891
profile1 0694,482.876,357.83,-2.871
profile1 0695,482.838,357.649,-2.867
profile1 0696,482.765,357.481,-2.875
profile1 0697,482.777,357.235,-2.903
profile1 0698,482.687,356.948,-2.876
profile1 0699,482.65,356.805,-2.875
profile1 0700,482.693,356.702,-2.867
profile1 0701,482.542,356.489,-2.867
