,event_id,norm_overrun_location,true_overrun_location,overrun_probability,number_of_events,number_of_waves,avg_overrun_period,avg_wave_period,norm_overrun_period,overrun_time,overrun_datetime,run_id,run_datetime,location,location_name
76,1,0.028054162982636077,38.18026065891457,0.3142857142857143,11,35.0,27.272727272727273,8.571428571428571,3.181818181818182,41.22527449624119,2014-08-07 09:40:41,8,2014-08-07 09:40:00,OneMileBeach,One Mile Beach
77,2,0.028054162982636077,38.18026065891457,0.3142857142857143,11,35.0,27.272727272727273,8.571428571428571,3.181818181818182,41.22527449624119,2014-08-07 09:40:41,8,2014-08-07 09:40:00,OneMileBeach,One Mile Beach
78,3,0.06807884009289333,45.31908633532832,0.3142857142857143,11,35.0,27.272727272727273,8.571428571428571,3.181818181818182,59.40359641320818,2014-08-07 09:40:59,8,2014-08-07 09:40:00,OneMileBeach,One Mile Beach
79,4,0.06807884009289333,45.31908633532832,0.3142857142857143,11,35.0,27.272727272727273,8.571428571428571,3.181818181818182,59.40359641320818,2014-08-07 09:40:59,8,2014-08-07 09:40:00,OneMileBeach,One Mile Beach
80,5,0.017133462167315816,40.02277713517414,0.3142857142857143,11,35.0,27.272727272727273,8.571428571428571,3.181818181818182,94.48027060661444,2014-08-07 09:41:34,8,2014-08-07 09:40:00,OneMileBeach,One Mile Beach
81,6,0.025175233069784975,41.02217525034803,0.3142857142857143,11,35.0,27.272727272727273,8.571428571428571,3.181818181818182,119.40550997056006,2014-08-07 09:41:59,8,2014-08-07 09:40:00,OneMileBeach,One Mile Beach
82,7,0.025175233069784975,41.02217525034803,0.3142857142857143,11,35.0,27.272727272727273,8.571428571428571,3.181818181818182,119.40550997056006,2014-08-07 09:41:59,8,2014-08-07 09:40:00,OneMileBeach,One Mile Beach
83,8,0.013208661060711835,38.83062941648138,0.3142857142857143,11,35.0,27.272727272727273,8.571428571428571,3.181818181818182,145.1796545447267,2014-08-07 09:42:25,8,2014-08-07 09:40:00,OneMileBeach,One Mile Beach
84,9,0.036089421903298335,42.3713615753761,0.3142857142857143,11,35.0,27.272727272727273,8.571428571428571,3.181818181818182,220.57479241300683,2014-08-07 09:43:40,8,2014-08-07 09:40:00,OneMileBeach,One Mile Beach
85,10,0.1494141528320183,41.782434423822345,0.3142857142857143,11,35.0,27.272727272727273,8.571428571428571,3.181818181818182,274.4472923094685,2014-08-07 09:44:34,8,2014-08-07 09:40:00,OneMileBeach,One Mile Beach
86,11,0.011297828608602178,34.595765008316,0.3142857142857143,11,35.0,27.272727272727273,8.571428571428571,3.181818181818182,288.86538897476817,2014-08-07 09:44:48,8,2014-08-07 09:40:00,OneMileBeach,One Mile Beach
87,1,0.017520811033424843,39.93118783684875,0.1875,6,32.0,50.0,9.375,5.333333333333333,36.7056025351781,2014-08-07 09:45:36,9,2014-08-07 09:45:00,OneMileBeach,One Mile Beach
88,2,0.01484453816089093,36.81342908129265,0.1875,6,32.0,50.0,9.375,5.333333333333333,79.15797965295037,2014-08-07 09:46:19,9,2014-08-07 09:45:00,OneMileBeach,One Mile Beach
89,3,0.012388358005664069,38.02672031374416,0.1875,6,32.0,50.0,9.375,5.333333333333333,107.3708738245267,2014-08-07 09:46:47,9,2014-08-07 09:45:00,OneMileBeach,One Mile Beach
90,4,0.030049790702650014,35.6229094793035,0.1875,6,32.0,50.0,9.375,5.333333333333333,149.29555008165843,2014-08-07 09:47:29,9,2014-08-07 09:45:00,OneMileBeach,One Mile Beach
91,5,-0.0012410591228486645,36.24835644269158,0.1875,6,32.0,50.0,9.375,5.333333333333333,237.23021838815362,2014-08-07 09:48:57,9,2014-08-07 09:45:00,OneMileBeach,One Mile Beach
92,6,-0.0021930222614523487,34.69457125394982,0.1875,6,32.0,50.0,9.375,5.333333333333333,262.24977812047285,2014-08-07 09:49:22,9,2014-08-07 09:45:00,OneMileBeach,One Mile Beach
93,1,0.2605432975384603,48.55184278349522,0.15625,5,32.0,60.0,9.375,6.4,97.32952380278988,2014-08-07 09:51:37,10,2014-08-07 09:50:00,OneMileBeach,One Mile Beach
94,2,0.007785142278817769,36.52215891764874,0.15625,5,32.0,60.0,9.375,6.4,147.0654533532914,2014-08-07 09:52:27,10,2014-08-07 09:50:00,OneMileBeach,One Mile Beach
95,3,0.480661723382384,40.840028276568205,0.15625,5,32.0,60.0,9.375,6.4,159.54085946348138,2014-08-07 09:52:39,10,2014-08-07 09:50:00,OneMileBeach,One Mile Beach
96,4,0.029708568437875726,39.02516782526742,0.15625,5,32.0,60.0,9.375,6.4,175.22725537749852,2014-08-07 09:52:55,10,2014-08-07 09:50:00,OneMileBeach,One Mile Beach
97,5,0.5849793713225799,51.67807651729781,0.15625,5,32.0,60.0,9.375,6.4,271.88658940661804,2014-08-07 09:54:31,10,2014-08-07 09:50:00,OneMileBeach,One Mile Beach
98,1,-0.0018829563368140123,29.309385810289374,0.3611111111111111,13,36.0,23.076923076923077,8.333333333333334,2.769230769230769,17.453467899335898,2014-08-07 09:55:17,11,2014-08-07 09:55:00,OneMileBeach,One Mile Beach
99,2,0.017465164268863465,38.94957260767816,0.3611111111111111,13,36.0,23.076923076923077,8.333333333333334,2.769230769230769,67.44920419545933,2014-08-07 09:56:07,11,2014-08-07 09:55:00,OneMileBeach,One Mile Beach
100,3,0.017465164268863465,38.94957260767816,0.3611111111111111,13,36.0,23.076923076923077,8.333333333333334,2.769230769230769,67.44920419545933,2014-08-07 09:56:07,11,2014-08-07 09:55:00,OneMileBeach,One Mile Beach
101,4,0.033542229410448376,40.20826926151728,0.3611111111111111,13,36.0,23.076923076923077,8.333333333333334,2.769230769230769,97.96674964216363,2014-08-07 09:56:37,11,2014-08-07 09:55:00,OneMileBeach,One Mile Beach
102,5,0.1581159227052642,43.386865850901934,0.3611111111111111,13,36.0,23.076923076923077,8.333333333333334,2.769230769230769,114.08925889226356,2014-08-07 09:56:54,11,2014-08-07 09:55:00,OneMileBeach,One Mile Beach
103,6,0.1581159227052642,43.386865850901934,0.3611111111111111,13,36.0,23.076923076923077,8.333333333333334,2.769230769230769,114.08925889226356,2014-08-07 09:56:54,11,2014-08-07 09:55:00,OneMileBeach,One Mile Beach
104,7,0.2118860765483217,36.398963820674155,0.3611111111111111,13,36.0,23.076923076923077,8.333333333333334,2.769230769230769,129.58028809229114,2014-08-07 09:57:09,11,2014-08-07 09:55:00,OneMileBeach,One Mile Beach
105,8,0.3498403537029069,48.48620296367635,0.3611111111111111,13,36.0,23.076923076923077,8.333333333333334,2.769230769230769,145.6419985640566,2014-08-07 09:57:25,11,2014-08-07 09:55:00,OneMileBeach,One Mile Beach
106,9,0.024942223741675873,40.70067149528232,0.3611111111111111,13,36.0,23.076923076923077,8.333333333333334,2.769230769230769,162.62896034363752,2014-08-07 09:57:42,11,2014-08-07 09:55:00,OneMileBeach,One Mile Beach
107,10,0.20958671031131781,46.62081152197045,0.3611111111111111,13,36.0,23.076923076923077,8.333333333333334,2.769230769230769,178.48370462191795,2014-08-07 09:57:58,11,2014-08-07 09:55:00,OneMileBeach,One Mile Beach
108,11,0.20958671031131781,46.62081152197045,0.3611111111111111,13,36.0,23.076923076923077,8.333333333333334,2.769230769230769,178.48370462191795,2014-08-07 09:57:58,11,2014-08-07 09:55:00,OneMileBeach,One Mile Beach
109,12,0.02752514713831178,42.992084496121215,0.3611111111111111,13,36.0,23.076923076923077,8.333333333333334,2.769230769230769,221.47873391667568,2014-08-07 09:58:41,11,2014-08-07 09:55:00,OneMileBeach,One Mile Beach
110,13,0.007323153247096426,30.431125339524908,0.3611111111111111,13,36.0,23.076923076923077,8.333333333333334,2.769230769230769,277.84066565406204,2014-08-07 09:59:37,11,2014-08-07 09:55:00,OneMileBeach,One Mile Beach
